날짜,카테고리,상품명,수량,단가
2026-05-11,키보드,커스텀 알루미늄 하우징 기계식 키보드 풀배열,5,389000
2026-05-11,키보드,커스텀 알루미늄 하우징 기계식 키보드 풀배열,11,389000
2026-05-12,노트북,경량 사무용 노트북 14인치,6,1290000
2026-05-12,노트북,프로 노트북 16인치 M4 Max 64GB 통합메모리 모델,12,3890000
2026-05-12,마우스,무선 게이밍 마우스 8K 폴링,12,129000
2026-05-16,마우스,무선 게이밍 마우스 8K 폴링,6,129000
2026-05-16,키보드,커스텀 알루미늄 하우징 기계식 키보드 풀배열,10,389000
2026-05-19,마우스,버티컬 인체공학 마우스,4,58000
2026-05-21,마우스,무선 게이밍 마우스 8K 폴링,7,129000
2026-05-24,노트북,경량 사무용 노트북 14인치,7,1290000
2026-05-24,마우스,무선 게이밍 마우스 8K 폴링,9,129000
2026-05-25,헤드셋,게이밍 헤드셋 7.1 서라운드,1,132000
2026-05-26,키보드,기계식 키보드 텐키리스 적축,4,148000
2026-05-27,마우스,초경량 무선 마우스 48g,11,96000
2026-05-27,헤드셋,게이밍 헤드셋 7.1 서라운드,1,132000
2026-05-28,노트북,경량 사무용 노트북 14인치,1,1290000
2026-05-28,노트북,프로 노트북 16인치 M4 Max 64GB 통합메모리 모델,6,3890000
2026-05-28,노트북,프로 노트북 16인치 M4 Max 64GB 통합메모리 모델,8,3890000
2026-05-28,마우스,무선 게이밍 마우스 8K 폴링,5,129000
2026-05-28,모니터,휴대용 모니터 15.6인치,2,268000
2026-05-29,노트북,프로 노트북 16인치 M4 Max 64GB 통합메모리 모델,12,3890000
2026-05-29,마우스,버티컬 인체공학 마우스,7,58000
2026-05-30,모니터,휴대용 모니터 15.6인치,8,268000
2026-05-30,키보드,커스텀 알루미늄 하우징 기계식 키보드 풀배열,6,389000
2026-05-31,모니터,휴대용 모니터 15.6인치,4,268000
2026-06-01,노트북,게이밍 노트북 17인치 RTX 5080 탑재 한정판,3,4250000
2026-06-01,노트북,게이밍 노트북 17인치 RTX 5080 탑재 한정판,12,4250000
2026-06-01,모니터,휴대용 모니터 15.6인치,3,268000
2026-06-01,키보드,커스텀 알루미늄 하우징 기계식 키보드 풀배열,12,389000
2026-06-04,마우스,무선 게이밍 마우스 8K 폴링,11,129000
2026-06-04,마우스,버티컬 인체공학 마우스,2,58000
2026-06-04,모니터,울트라와이드 커브드 게이밍 모니터 34인치 240Hz,7,1180000
2026-06-04,헤드셋,게이밍 헤드셋 7.1 서라운드,11,132000
2026-06-05,모니터,4K 무결점 IPS 모니터 27인치,9,620000
2026-06-05,키보드,커스텀 알루미늄 하우징 기계식 키보드 풀배열,6,389000
2026-06-05,헤드셋,게이밍 헤드셋 7.1 서라운드,12,132000
2026-06-06,마우스,무선 게이밍 마우스 8K 폴링,2,129000
2026-06-07,모니터,울트라와이드 커브드 게이밍 모니터 34인치 240Hz,1,1180000
2026-06-07,키보드,기계식 키보드 텐키리스 적축,4,148000
2026-06-08,키보드,기계식 키보드 텐키리스 적축,1,148000
2026-06-10,마우스,버티컬 인체공학 마우스,10,58000
2026-06-10,모니터,4K 무결점 IPS 모니터 27인치,12,620000
2026-06-11,헤드셋,게이밍 헤드셋 7.1 서라운드,1,132000
2026-06-11,헤드셋,오픈형 스튜디오 모니터링 헤드폰,7,215000
2026-06-13,노트북,프로 노트북 16인치 M4 Max 64GB 통합메모리 모델,4,3890000
2026-06-13,헤드셋,오픈형 스튜디오 모니터링 헤드폰,5,215000
2026-06-14,모니터,휴대용 모니터 15.6인치,1,268000
2026-06-14,키보드,커스텀 알루미늄 하우징 기계식 키보드 풀배열,5,389000
2026-06-14,헤드셋,오픈형 스튜디오 모니터링 헤드폰,3,215000
2026-06-15,모니터,4K 무결점 IPS 모니터 27인치,8,620000
2026-06-15,키보드,무선 저소음 멤브레인 키보드,6,42000
2026-06-18,모니터,4K 무결점 IPS 모니터 27인치,2,620000
2026-06-18,모니터,4K 무결점 IPS 모니터 27인치,3,620000
2026-06-18,헤드셋,오픈형 스튜디오 모니터링 헤드폰,1,215000
2026-06-19,모니터,휴대용 모니터 15.6인치,9,268000
2026-06-20,마우스,버티컬 인체공학 마우스,10,58000
2026-06-20,마우스,초경량 무선 마우스 48g,1,96000
2026-06-20,키보드,무선 저소음 멤브레인 키보드,9,42000
2026-06-21,헤드셋,노이즈캔슬링 무선 헤드셋 오버이어,3,349000
2026-06-22,헤드셋,오픈형 스튜디오 모니터링 헤드폰,2,215000
2026-06-23,모니터,휴대용 모니터 15.6인치,4,268000
2026-06-24,키보드,기계식 키보드 텐키리스 적축,7,148000
2026-06-25,마우스,버티컬 인체공학 마우스,1,58000
2026-06-27,노트북,경량 사무용 노트북 14인치,4,1290000
2026-06-28,모니터,휴대용 모니터 15.6인치,5,268000
2026-06-28,헤드셋,게이밍 헤드셋 7.1 서라운드,5,132000
2026-06-29,키보드,커스텀 알루미늄 하우징 기계식 키보드 풀배열,5,389000
